istanza,N,alpha,piano,espansi,valutati,tempo_s,esito
N_12__graph_01__DNTP_instance__alpha_0.200__k_004,12; N=,0.200; AL=,4,5,65,0.108795,OK
N_12__graph_01__DNTP_instance__alpha_0.600__k_011,12; N=12; N=,0.600; AL=0.200; AL=,10,11,146,0.246052,OK
N_12__graph_01__DNTP_instance__alpha_1.000__k_017,12; N=12; N=12; N=,1.000; AL=0.600; AL=0.200; AL=,15,16,211,0.360068,OK
N_12__graph_01__DNTP_instance__alpha_1.400__k_024,12; N=12; N=12; N=12; N=,1.400; AL=1.000; AL=0.600; AL=0.200; AL=,21,1470,5976,10.401399,OK
N_12__graph_01__DNTP_instance__alpha_1.800__k_031,12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,25,29,426,0.753953,OK
N_12__graph_02__DNTP_instance__alpha_0.200__k_004,12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,4,5,61,0.100548,OK
N_12__graph_02__DNTP_instance__alpha_0.600__k_010,12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,9,10,136,0.221407,OK
N_12__graph_02__DNTP_instance__alpha_1.000__k_016,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,14,15,228,0.375238,OK
N_12__graph_02__DNTP_instance__alpha_1.400__k_023,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,21,27,301,0.491666,OK
N_12__graph_02__DNTP_instance__alpha_1.800__k_029,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,23,33,311,0.506626,OK
N_12__graph_03__DNTP_instance__alpha_0.200__k_003,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,3,4,42,0.067679,OK
N_12__graph_03__DNTP_instance__alpha_0.600__k_010,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,10,11,144,0.230152,OK
N_12__graph_03__DNTP_instance__alpha_1.000__k_015,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,15,16,215,0.365803,OK
N_12__graph_03__DNTP_instance__alpha_1.400__k_022,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,21,23,335,0.562066,OK
N_12__graph_03__DNTP_instance__alpha_1.800__k_027,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,25,29,451,0.788223,OK
N_12__graph_04__DNTP_instance__alpha_0.200__k_004,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,4,5,73,0.123757,OK
N_12__graph_04__DNTP_instance__alpha_0.600__k_011,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,11,13,197,0.332220,OK
N_12__graph_04__DNTP_instance__alpha_1.000__k_018,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,14,16,267,0.443430,OK
N_12__graph_04__DNTP_instance__alpha_1.400__k_026,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,23,28,450,0.788724,OK
N_12__graph_04__DNTP_instance__alpha_1.800__k_033,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,27,29,472,0.813585,OK
N_12__graph_05__DNTP_instance__alpha_0.200__k_004,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,4,5,66,0.118972,OK
N_12__graph_05__DNTP_instance__alpha_0.600__k_010,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,9,11,166,0.276100,OK
N_12__graph_05__DNTP_instance__alpha_1.000__k_016,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,15,19,259,0.436672,OK
N_12__graph_05__DNTP_instance__alpha_1.400__k_023,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,23,46,406,0.674509,OK
N_12__graph_05__DNTP_instance__alpha_1.800__k_029,12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,25,44,462,0.766352,OK
N_18__graph_01__DNTP_instance__alpha_0.200__k_006,18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,6,7,132,0.404645,OK
N_18__graph_01__DNTP_instance__alpha_0.600__k_017,18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,15,20,449,1.403216,OK
N_18__graph_01__DNTP_instance__alpha_1.000__k_027,18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,19,25,583,1.810050,OK
N_18__graph_01__DNTP_instance__alpha_1.400__k_038,18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,29,41,905,2.815768,OK
N_18__graph_01__DNTP_instance__alpha_1.800__k_049,18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,40,84,1733,5.449620,OK
N_18__graph_02__DNTP_instance__alpha_0.200__k_005,18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,5,6,103,0.301805,OK
N_18__graph_02__DNTP_instance__alpha_0.600__k_016,18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,16,26,571,1.738773,OK
N_18__graph_02__DNTP_instance__alpha_1.000__k_025,18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,25,30,643,1.928879,OK
N_18__graph_02__DNTP_instance__alpha_1.400__k_035,18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,39,107,1480,4.513519,OK
N_18__graph_02__DNTP_instance__alpha_1.800__k_045,18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,-,-,-,-,TIMEOUT
N_18__graph_03__DNTP_instance__alpha_0.200__k_005,18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,5,6,125,0.361717,OK
N_18__graph_03__DNTP_instance__alpha_0.600__k_015,18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,14,16,344,1.043425,OK
N_18__graph_03__DNTP_instance__alpha_1.000__k_024,18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,22,25,511,1.556888,OK
N_18__graph_03__DNTP_instance__alpha_1.400__k_034,18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,31,43,818,2.481697,OK
N_18__graph_03__DNTP_instance__alpha_1.800__k_044,18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,39,79,1219,3.737688,OK
N_18__graph_04__DNTP_instance__alpha_0.200__k_005,18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,5,6,105,0.307508,OK
N_18__graph_04__DNTP_instance__alpha_0.600__k_015,18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,14,15,293,0.875080,OK
N_18__graph_04__DNTP_instance__alpha_1.000__k_024,18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,23,24,511,1.481411,OK
N_18__graph_04__DNTP_instance__alpha_1.400__k_034,18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,36,71,1266,4.009298,OK
N_18__graph_04__DNTP_instance__alpha_1.800__k_044,18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,40,57,1252,3.951094,OK
N_18__graph_05__DNTP_instance__alpha_0.200__k_005,18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=18; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=12; N=,0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=1.800; AL=1.400; AL=1.000; AL=0.600; AL=0.200; AL=,5,6,109,0.306221,OK
